,CID,tsne_1,tsne_2,link,image
4048,144500068,17.706495,2.316072,https://pubchem.ncbi.nlm.nih.gov/compound/144500068,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/144500068.png
4049,70651786,6.907616,-17.746414,https://pubchem.ncbi.nlm.nih.gov/compound/70651786,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/70651786.png
4050,80869270,41.964558,-8.181663,https://pubchem.ncbi.nlm.nih.gov/compound/80869270,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/80869270.png
4051,62802901,46.916073,11.325771,https://pubchem.ncbi.nlm.nih.gov/compound/62802901,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/62802901.png
4052,66806243,-49.590874,-13.983122,https://pubchem.ncbi.nlm.nih.gov/compound/66806243,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/66806243.png
4053,151798536,-40.369164,-6.4092364,https://pubchem.ncbi.nlm.nih.gov/compound/151798536,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/151798536.png
4054,12193658,10.877697,19.684416,https://pubchem.ncbi.nlm.nih.gov/compound/12193658,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/12193658.png
4055,11975341,-18.63342,-26.437738,https://pubchem.ncbi.nlm.nih.gov/compound/11975341,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/11975341.png
4056,21814962,-33.567493,35.80137,https://pubchem.ncbi.nlm.nih.gov/compound/21814962,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/21814962.png
4057,83914225,-21.776306,24.47211,https://pubchem.ncbi.nlm.nih.gov/compound/83914225,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/83914225.png
4058,12298312,-47.501167,22.765594,https://pubchem.ncbi.nlm.nih.gov/compound/12298312,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/12298312.png
4059,121212083,-24.393314,33.58786,https://pubchem.ncbi.nlm.nih.gov/compound/121212083,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/121212083.png
4060,131274510,35.20434,-23.93248,https://pubchem.ncbi.nlm.nih.gov/compound/131274510,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/131274510.png
4061,96632799,25.627113,-41.362053,https://pubchem.ncbi.nlm.nih.gov/compound/96632799,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/96632799.png
4062,166110587,39.284332,20.493431,https://pubchem.ncbi.nlm.nih.gov/compound/166110587,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/166110587.png
4063,42046307,33.071796,0.55776095,https://pubchem.ncbi.nlm.nih.gov/compound/42046307,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/42046307.png
4064,24696745,16.379227,53.86432,https://pubchem.ncbi.nlm.nih.gov/compound/24696745,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/24696745.png
4065,154172103,-22.589945,-4.9209266,https://pubchem.ncbi.nlm.nih.gov/compound/154172103,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/154172103.png
4066,82817205,-19.659185,20.421844,https://pubchem.ncbi.nlm.nih.gov/compound/82817205,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/82817205.png
4067,60771231,-70.84132,-15.763611,https://pubchem.ncbi.nlm.nih.gov/compound/60771231,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/60771231.png
4068,142975248,12.107859,-37.833836,https://pubchem.ncbi.nlm.nih.gov/compound/142975248,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/142975248.png
4069,67104538,61.33596,-13.441112,https://pubchem.ncbi.nlm.nih.gov/compound/67104538,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/67104538.png
4070,112538458,38.04518,13.3257475,https://pubchem.ncbi.nlm.nih.gov/compound/112538458,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/112538458.png
4071,10632313,20.91833,-38.76672,https://pubchem.ncbi.nlm.nih.gov/compound/10632313,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/10632313.png
4072,6474351,47.50281,43.23852,https://pubchem.ncbi.nlm.nih.gov/compound/6474351,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/6474351.png
4073,80457710,73.08131,1.4085741,https://pubchem.ncbi.nlm.nih.gov/compound/80457710,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/80457710.png
4074,114798653,62.54963,-8.818181,https://pubchem.ncbi.nlm.nih.gov/compound/114798653,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/114798653.png
4075,69857776,-57.071808,3.583232,https://pubchem.ncbi.nlm.nih.gov/compound/69857776,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/69857776.png
4076,346540,-41.24667,-10.250923,https://pubchem.ncbi.nlm.nih.gov/compound/346540,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/346540.png
4077,86216252,3.7244418,-29.110344,https://pubchem.ncbi.nlm.nih.gov/compound/86216252,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/86216252.png
4078,136456774,24.542986,37.60731,https://pubchem.ncbi.nlm.nih.gov/compound/136456774,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/136456774.png
4079,153540708,51.878635,24.104576,https://pubchem.ncbi.nlm.nih.gov/compound/153540708,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/153540708.png
4080,154132846,-14.710647,-42.850018,https://pubchem.ncbi.nlm.nih.gov/compound/154132846,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/154132846.png
4081,166870922,-16.549988,29.208406,https://pubchem.ncbi.nlm.nih.gov/compound/166870922,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/166870922.png
4082,138396137,2.9384513,9.728601,https://pubchem.ncbi.nlm.nih.gov/compound/138396137,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/138396137.png
4083,59276465,-5.1756043,10.13022,https://pubchem.ncbi.nlm.nih.gov/compound/59276465,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/59276465.png
4084,12916457,-28.065445,-2.3039088,https://pubchem.ncbi.nlm.nih.gov/compound/12916457,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/12916457.png
4085,45098216,-4.488919,8.829608,https://pubchem.ncbi.nlm.nih.gov/compound/45098216,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/45098216.png
4086,14909590,-10.559539,11.4487915,https://pubchem.ncbi.nlm.nih.gov/compound/14909590,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/14909590.png
4087,43505454,-70.811455,-12.901505,https://pubchem.ncbi.nlm.nih.gov/compound/43505454,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/43505454.png
4088,19694676,0.3035319,-7.117155,https://pubchem.ncbi.nlm.nih.gov/compound/19694676,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/19694676.png
