,cid,CanonicalSMILES,overall_score,tsne_1,tsne_2,image,link
1240877,1240877,C1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1,0.4042146183556154,31.727993,20.791758,https://upconverting.blob.core.windows.net/redox-components/1240877.png,https://pubchem.ncbi.nlm.nih.gov/compound/1240877
95336,95336,C1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1,0.4042146183556154,31.727993,20.791758,https://upconverting.blob.core.windows.net/redox-components/95336.png,https://pubchem.ncbi.nlm.nih.gov/compound/95336
350508,350508,C1=CC=C2C(=C1)C=C3C(=C2Cl)C(=O)C4=CC=CC=C4C3=O,0.4042825914212793,54.732006,16.642014,https://upconverting.blob.core.windows.net/redox-components/350508.png,https://pubchem.ncbi.nlm.nih.gov/compound/350508
70309,70309,C1=CC=C2C(=C1)C(=O)C(=O)C2=O,0.40473800899346557,30.0554,11.096521,https://upconverting.blob.core.windows.net/redox-components/70309.png,https://pubchem.ncbi.nlm.nih.gov/compound/70309
15664,15664,CC1=CN=C(C=C1)C2=NC=C(C=C2)C,0.40499711459157267,-6.9315805,-3.7366052,https://upconverting.blob.core.windows.net/redox-components/15664.png,https://pubchem.ncbi.nlm.nih.gov/compound/15664
96016,96016,C1=CC=C2C(=C1)C3=C(C2=O)C=C(C=C3)F,0.4067167826469741,49.218697,23.279964,https://upconverting.blob.core.windows.net/redox-components/96016.png,https://pubchem.ncbi.nlm.nih.gov/compound/96016
317256,317256,CC(=CCCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)C,0.4074678837107193,53.52928,26.82228,https://upconverting.blob.core.windows.net/redox-components/317256.png,https://pubchem.ncbi.nlm.nih.gov/compound/317256
289664,289664,CN(C)C1=NC=C(C=C1)CC2=CN=C(C=C2)N(C)C,0.4075253339129278,-13.25462,-5.464744,https://upconverting.blob.core.windows.net/redox-components/289664.png,https://pubchem.ncbi.nlm.nih.gov/compound/289664
71310908,71310908,C1=CC(=NC=C1CS)C2=NC=C(C=C2)CS,0.40924052683980133,-13.119902,-8.180223,https://upconverting.blob.core.windows.net/redox-components/71310908.png,https://pubchem.ncbi.nlm.nih.gov/compound/71310908
9285,9285,C[N+]1=C2C=CC=CC2=NC3=CC=CC=C31.COS(=O)(=O)[O-],0.40938472547428406,14.772987,-19.94319,https://upconverting.blob.core.windows.net/redox-components/9285.png,https://pubchem.ncbi.nlm.nih.gov/compound/9285
