,CID,smiles,tsne_1,tsne_2,image,link
43,138414681,CCCCOC(=O)CN(C1=CC=C(C=C1)C)C(C(F)(F)F)(C(F)(F)F)F,36.46799,-63.785206,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138414681.png,https://pubchem.ncbi.nlm.nih.gov/compound/138414681
44,138938987,CCC(C1=CC=CC=C1)N(CCCC(=O)OCC)C2=CC=CC=C2C,49.40853,-63.21607,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138938987.png,https://pubchem.ncbi.nlm.nih.gov/compound/138938987
45,138414716,CCOC(=O)CN(CC1=CC=CC=C1)C2=CC=C(C=C2)C,45.281082,-59.39752,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138414716.png,https://pubchem.ncbi.nlm.nih.gov/compound/138414716
46,165677929,CC(CC1=C(C=C(C=C1)C(F)(F)F)NC(=O)OC(C)(C)C)N,87.23349,-25.877907,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/165677929.png,https://pubchem.ncbi.nlm.nih.gov/compound/165677929
47,2100134,CC(C)C1=C(C(=CC=C1)C(C)C)NC(=O)CN2CCCC2,62.01192,-5.8164506,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/2100134.png,https://pubchem.ncbi.nlm.nih.gov/compound/2100134
48,138415026,CCCN(CCCC(=O)OCC)C1=CC=C(C=C1)C,49.965927,-62.34581,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138415026.png,https://pubchem.ncbi.nlm.nih.gov/compound/138415026
49,138415054,CCCN(CC(OC)OC)C1=CC=C(C=C1)C,-38.307014,-44.366474,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138415054.png,https://pubchem.ncbi.nlm.nih.gov/compound/138415054
50,138415245,CCOC(CN(C1=CC=C(C=C1)C)C2=CC=CC=C2C)OCC,-37.601616,-45.05284,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138415245.png,https://pubchem.ncbi.nlm.nih.gov/compound/138415245
51,138415265,CCCC1=CC=C(C=C1)N(CC(OCC)OCC)C2=CC=C(C=C2)C,-39.519035,-44.259598,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138415265.png,https://pubchem.ncbi.nlm.nih.gov/compound/138415265
52,138415284,CCCCCCN(CC(OCC)OCC)C1=CC=C(C=C1)C,-28.367413,-41.221786,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138415284.png,https://pubchem.ncbi.nlm.nih.gov/compound/138415284
