,CID,smiles
106,138675050,CC(=C)C(=O)OCC1CO1.C=CC(=O)OCC(C(F)(F)F)(C(F)(F)F)O
107,163840887,CC1=C(C=C(C=C1)N(C2=CC(=CC=C2)OC)C3=CC(=CC=C3)OC(=O)C=C)C
108,162005931,CO.C=CC(=O)O.C=CC(=O)O
109,129762230,CC(=O)OC1CC2CC1CC2OC(=O)C=C
110,72352708,C=CC(=O)O.[Ti]
111,59245534,CCCC1CCC(CC1)C2CCC(CC2)C3=CC(=C(C(=C3)F)OCCCCCCOC(=O)C=C)F
112,67896311,C=CC(=O)OCCOC1(CCCCC1)OCCOC(=O)C=C
113,21496833,CC(OC(=O)C=C)S(=O)(=O)O.[Na+]
114,158860297,CC1=C(C=C(C=C1)N(C2=CC=C(C=C2)OCCCOC(=O)C=C)C3=CC=C(C=C3)OCCCOC(=O)C=C)C4=CC=C(C=C4)C5=CC=C(C=C5)C6=CC=CC=C6.CC1=C(C=C(C=C1)N(C2=CC=C(C=C2)OCCCOC(=O)C=C)C3=CC=C(C=C3)OCCCOC(=O)C=C)C4=CC5=C(C=C4)C6=CC=CC=C6C7=CC=CC=C75.CC1=C(C=C(C=C1)N(C2=CC=C(C=C2)OCCCOC(=O)C=C)C3=CC=C(C=C3)OCCCOC(=O)C=C)C4=CC=C(C5=CC=CC=C54)C6=CC=CC=C6
115,54002705,C=CC(=O)OCCCCCCCCCCCCC=O
116,14943261,CCOC(=O)C1CC2CC1CC2OC(=O)C=C
117,20186144,COC(=O)C=C.N
118,158860329,CC(COC(C)COC(=O)C=C)OCC(C)OC(=O)C=C.C(C(CO)(CO)COCC(CO)(CO)CO)O
119,54527020,C=CC(=O)OCCOC1CCCCC1
120,144180289,CC.CCOC(=O)C=C.C1CCCCC1
121,160433219,CC(=C)C(=O)OCCOC(=O)C(=C)C.C=CC(=O)OCCOCCOC(=O)C=C
122,87557188,CC=C(COC(=O)C=C)O
123,72352844,C=CC(=O)OC1=C(C=C(C=C1)OC(=O)C=CC2=CC=CC=C2)F
124,161481818,CCCCC(CC)COC(=O)C=C.CCCCOC(=O)C=C.CCCOC(=O)C=C.CCOC(=O)C=C
125,140248212,COC(C(O)OC(=O)C=C)OCCOCCO
126,23331989,CCCCCCCCCCCCCCCCCCOC(=O)C=C.CC1(C2CCC1(C(=O)C2)C)C
127,22283435,C=CC(=O)OCC1=CC(=CC=C1)OC2=CC=CC=C2
128,161481917,CCCCCCCCC(CCCCCC)CCOC(=O)C=C.CCCCCCCC(CCCCC)CCOC(=O)C=C.CCCCCCCC(CCCCCC)CCOC(=O)C=C.CCCCCCCC(CCCCCCC)CCOC(=O)C=C.CCCCCCC(CCCCCC)CCOC(=O)C=C
129,160171224,C.C.C.C.COCCOC(=O)C=C.COCOC(=O)C=C.COC(=O)C=C
130,162006237,CC1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)CCOC(=O)C=C.CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)CCOC(=O)C=C.CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)NC(=O)C=C.CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)OCCCCCCCCCCOC(=O)C=C.CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)OCCCCOC(=O)C=C.CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)OCCCOC(=O)C=C.CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)OCCOC(=O)C=C.CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)OCCOC(=O)C=C.CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)OCC(COC(=O)C=C)OC(=O)C=C.C=CC(=O)OC1=CC=C(C=C1)C2=CC=C(C=C2)N(C3=CC=CC=C3)C4=CC=CC=C4
131,89392358,CCOCCOCCOC(=O)C=C.CC(=C)C(=O)OCCO
132,160695535,C=C.C=C.C=C.C=C.C=CC(=O)OCCOCCOCCOCCOC(=O)C=C
133,141034749,CC(COC(=O)C=C)NC(C)(C)C
134,160433412,C=CC(=O)[O-].[O-2].[Zr+3]
135,159909141,CC=C.CC(=C)OC(=O)C=C
136,10749262,CC(=C)CCOC(=O)C=C
137,17827210,CC(=C)C(=O)OC(C(C(F)F)F)F.C=CC(=O)OC(C(C(F)F)F)F
138,17827211,C=CC(=O)OC(C(C(F)F)F)F
139,130287001,COC(COC(=O)C=C)(C(F)(F)F)F
140,89916826,CCC1C(CO1)CCOC(=O)C=C
141,141297062,CC[Si](CCCOC(=O)C=C)(OC(C)C)OC(C)C
142,57935281,CCOC(=O)C=[CH-].[Cu+]
143,157550017,COCCOCCO.C=CC(=O)O
144,57673155,C=CC(=O)OCC(CCCOCCCOCCCC(COC(=O)C=C)OC(=O)C=C)OC(=O)C=C
145,123209164,CC(=C)C(=O)OC=COC1=C(C=C(C=C1)OC(=O)C=C)F
146,90179038,CC(C)(CC(C)(C)OC(=O)C=C)OC
147,57673200,C=CC(=O)OCC(CCCOCCCCCOCCCC(COC(=O)C=C)OC(=O)C=C)OC(=O)C=C
148,57673209,CCCOC1CCC(CC1)C2CCC(CC2)OCC(COC(=O)C=C)OC(=O)C=C
149,57673221,CC1=C(C=C(C=C1)OCCCCOCC(COC(=O)C=C)OC(=O)C=C)F
150,139724296,CCN(CCO)CCO.C=CC(=O)O.C=CC(=O)O
151,139724297,CN(C)CC(COC(=O)C=C)COC(=O)C=C
152,101451307,C=CC(=O)OC(C(C1CCCO1)(F)F)C(F)(F)F
153,101451309,C=CC(=O)OC(C(C1CCCCO1)(F)F)C(F)(F)F
154,101189168,CC(OCC(C)(C)COC(C)OC(=O)C=C)OC(=O)C=C
155,101189169,CC(OC(OC(C)OC(=O)C=C)OC(C)OC(=O)C=C)OC(=O)C=C
156,141035065,CC(C)O[Si](COC(=O)C=C)(OC(C)C)OC(C)(C)C
157,141035068,CC(OC(=O)C=C)[Si](C)(C)OCCOC
158,141035069,CC(C)(C)O[Si](C)(C)COC(=O)C=C
159,141035073,CC(OC(=O)C=C)[Si](OCCOC)(OCCOC)OCCOC
160,141035076,CC[N+](C)(CCOC(=O)C=C)CC1=CC=CC=C1.[Br-]
161,156501578,CCC(C)OC(=O)C(=COC(=O)C=C)C
162,57935440,C=CC(=O)OCCOCCOCC(COCCOCCOC(=O)C=C)(COCCOCCOC(=O)C=C)COCC(COCCOCCOC(=O)C=C)(COCCOCCOC(=O)C=C)COCCOCCOC(=O)C=C
163,129762902,CC(C)(C(Cl)(Cl)Cl)OC(=O)C=C
164,67896923,C[Si](C)C1(CCCCO1)CCOC(=O)C=C
